Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15
t1,s1,int,TMod0,0.13712288987017,0.395976851850719,0.533099741720889,I2S,1.51412571143513,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.78217940776176,3.21070259249609,3.99288200025785,I2S,5.05751667815778,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,7.78172582109937,5.23630441425939,13.0180302353588,I2S,5.5582693771747,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,3.53985553430357,17.1094521169753,20.6493076512788,I2S,2.10010879867245,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,1.25351653820007,23.0661584288819,24.3196749670819,I2S,6.24160969623361,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,1.64459962037745,25.9641961202783,27.6087957406558,I2S,3.01709754011942,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,1.40398149763723,29.2834843798992,30.6874658775364,I2S,5.47804254564794,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.81224491958119,32.502535615658,33.3147805352392,I2S,0.373849013604605,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.701971711422175,34.5882952789575,35.2902669903797,I2S,5.98468428556419,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,1.34359586951405,36.3133148212587,37.6569106907727,I2S,0.140125362584989,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.872434876377611,39.2815541534469,40.1539890298245,I2S,0.949216079439822,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.561620410207979,41.6582376800734,42.2198580902814,I2S,0.533573402835664,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.862370880928211,43.262695543031,44.1250664239592,I2S,5.94480266801957,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.742044603130125,45.3886131869231,46.1306577900532,I2S,5.35795749455013,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,1.02292201852015,47.1534576381514,48.1763796566715,I2S,4.88509215993887,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.962605587194503,49.1490697665949,50.1116753537895,I2S,4.09859114072539,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.60166482859222,51.2550855507488,51.8567503793411,I2S,2.77181972345235,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.571553627021331,55.2461591638912,55.8177127909125,I2S,1.45549213111446,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.862322873580524,56.7704242293416,57.6327471029222,I2S,0.327421155972203,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,1.07286025458461,58.5955238611418,59.6683841157264,I2S,6.10909782737015,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.992787972073529,60.6514520898263,61.6442400618998,I2S,5.43779723155,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.902444765891232,62.7572861082299,63.6597308741211,I2S,4.87906875883513,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.922521107506327,64.6826492507048,65.6051703582111,I2S,4.12137842449685,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,1.03282477549965,66.648253807231,67.6810785827306,I2S,3.73424927967467,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,1.01277061658993,68.6036817993554,69.6164524159453,I2S,2.9479701849228,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.90255170639648,70.6995826009456,71.6021343073421,I2S,2.30457753040807,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.581597757361578,72.7554568627497,73.3370546201113,I2S,0.948964396448964,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.701995880638606,74.9315716512974,75.633567531936,I2S,1.18840323313383,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
t1,s1,int,TMod0,0.782096967557663,76.7868205594614,77.568917527019,I2S,0.402056432612675,fast,1.34332361502786,0.0299029744295581,0.0844927132225946,1.47548276833083,5.39346764846093
